Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Humedad;Standard Deviation Humedad;Min Humedad;Max Humedad;Global H Humedad;Neighbourhood H Humedad;t-statistics Humedad;Ref Humedad;Grasa;Standard Deviation Grasa;Min Grasa;Max Grasa;Global H Grasa;Neighbourhood H Grasa;t-statistics Grasa;Ref Grasa;Cenizas;Standard Deviation Cenizas;Min Cenizas;Max Cenizas;Global H Cenizas;Neighbourhood H Cenizas;Ref Cenizas;pH;Standard Deviation pH;Min pH;Max pH;Global H pH;Neighbourhood H pH;t-statistics pH;Ref pH;Cup id;Cup type
02/02/2022 20:52;CACAO (TORTA);CACAO_TORTA;Normal;230/22;;NIRS DS3 F;91889831;1.81;0.048;1.748;1.883;0.8;0.4;0.53;3.95;10.76;0.086;10.603;10.854;0.8;0.4;-0.66;11.19;;;;;;;;5.77;0.096;5.65;5.898;0.8;0.4;-1.46;5.36;82125;2501
02/02/2022 20:57;CACAO (POLVO);CACAO_POLVO;Normal;232/22;;NIRS DS3 F;91889831;2.29;0.008;2.279;2.301;1.03;0.35;-0.37;3.27;11.2;0.025;11.19;11.262;0.71;0.19;;11.08;;;;;;;;7.04;0.051;6.961;7.105;1.03;0.35;-0.2;7.17;82139;2501
02/02/2022 20:58;CACAO (POLVO);CACAO_POLVO;Normal;239/22;;NIRS DS3 F;91889831;2.23;0.009;2.223;2.248;0.86;0.29;-0.47;3.42;11.22;0.051;11.171;11.304;0.75;0.18;;11.1;;;;;;;;7;0.087;6.818;7.06;0.86;0.29;-0.23;6.96;82125;2501
02/02/2022 20:59;CACAO (POLVO);CACAO_POLVO;Normal;242/22;;NIRS DS3 F;91889831;2.24;0.003;2.234;2.243;1.06;0.38;-0.46;3.33;11.33;0.019;11.295;11.344;0.66;0.15;;11.19;;;;;;;;7.16;0.017;7.148;7.189;1.06;0.38;-0.08;7.01;82139;2501
02/02/2022 21:01;CACAO (TORTA);CACAO_TORTA;Normal;244/22;;NIRS DS3 F;91889831;1.68;0.088;1.577;1.835;0.8;0.43;0.23;3.72;10.89;0.038;10.844;10.958;0.8;0.43;-0.63;11.27;;;;;;;;5.75;0.076;5.671;5.889;0.8;0.43;-1.48;5.42;82125;2501
02/02/2022 21:02;CACAO (TORTA);CACAO_TORTA;Normal;245/22;;NIRS DS3 F;91889831;1.75;0.041;1.688;1.824;0.77;0.47;0.39;3.89;10.68;0.041;10.633;10.745;0.77;0.47;-0.69;11.08;;;;;;;;5.91;0.175;5.559;6.095;0.77;0.47;-1.33;5.47;82139;2501
02/02/2022 21:03;CACAO (TORTA);CACAO_TORTA;Normal;246/22;;NIRS DS3 F;91889831;1.68;0.061;1.56;1.749;0.79;0.37;0.25;3.84;10.68;0.03;10.643;10.718;0.79;0.37;-0.69;11.11;;;;;;;;6.02;0.141;5.831;6.222;0.79;0.37;-1.23;5.54;82125;2501
02/02/2022 21:04;CACAO (TORTA);CACAO_TORTA;Normal;247/22;;NIRS DS3 F;91889831;1.81;0.079;1.694;1.885;0.8;0.4;0.51;3.91;10.71;0.068;10.627;10.804;0.8;0.4;-0.68;11.67;;;;;;;;6.09;0.088;5.981;6.243;0.8;0.4;-1.17;5.55;82139;2501
02/02/2022 21:05;CACAO (TORTA);CACAO_TORTA;Normal;248/22;;NIRS DS3 F;91889831;1.33;0.053;1.258;1.391;0.93;0.31;-0.5;2.48;11.28;0.05;11.202;11.336;0.93;0.31;-0.52;11.68;;;;;;;;5.96;0.141;5.812;6.215;0.93;0.31;-1.28;5.61;82125;2501
02/02/2022 21:06;CACAO (TORTA);CACAO_TORTA;Normal;249/22;;NIRS DS3 F;91889831;1.52;0.078;1.45;1.683;0.8;0.24;-0.11;2.65;11.11;0.05;11.045;11.191;0.8;0.24;-0.57;11.68;;;;;;;;5.91;0.039;5.868;5.971;0.8;0.24;-1.33;5.54;82139;2501
